"county","positive","negative","recovered","total_deaths","number_tested","current_infections","date","population"
"Pike",170,1688,153,1,1858,16,2020-08-28,10808
"Poinsett",465,5329,354,6,5794,105,2020-08-28,24054
"Polk",220,3005,187,4,3225,29,2020-08-28,20163
"Pope",1699,15491,1508,14,17190,177,2020-08-28,63644
"Prairie",114,1514,112,0,1628,2,2020-08-28,8244
"Pulaski",6928,90501,6120,100,97429,708,2020-08-28,393463
"Randolph",303,3537,268,12,3840,23,2020-08-28,17603
"Saline",1528,19251,1320,11,20779,197,2020-08-28,118009
"Scott",86,1392,81,0,1478,5,2020-08-28,10442
"Searcy",94,1433,39,0,1527,55,2020-08-28,7923
"Sebastian",2817,30680,2473,32,33497,312,2020-08-28,127461
"Sevier",1148,5485,1094,12,6633,42,2020-08-28,17193
"Sharp",149,2694,122,5,2843,22,2020-08-28,17043
"St. Francis",1325,9010,1242,4,10335,79,2020-08-28,26294
"Stone",189,2293,122,2,2482,65,2020-08-28,12446
"Union",683,6732,578,20,7415,85,2020-08-28,39732
"Van Buren",112,2730,74,2,2842,36,2020-08-28,16684
"Washington",6715,50546,6455,56,57261,204,2020-08-28,228529
"White",521,9588,419,10,10109,92,2020-08-28,78804
"Woodruff",27,1287,26,0,1314,1,2020-08-28,6660
"Yell",1136,7376,1076,23,8512,37,2020-08-28,21757
"Arkansas",273,3886,244,2,4159,27,2020-08-27,18124
"Ashley",386,3919,355,7,4305,24,2020-08-27,20537
"Baxter",129,2409,93,0,2538,36,2020-08-27,41219
"Benton",5185,53482,4933,47,58667,205,2020-08-27,258980
"Boone",301,5894,236,1,6195,64,2020-08-27,37288
"Bradley",275,2888,226,5,3163,44,2020-08-27,10948
"Calhoun",23,1218,18,0,1241,5,2020-08-27,5202
"Carroll",448,5244,394,7,5692,47,2020-08-27,27887
"Chicot",948,3992,884,10,4940,54,2020-08-27,10826
"Clark",222,4404,193,3,4626,26,2020-08-27,22385
"Clay",170,2877,144,5,3047,21,2020-08-27,15061
"Cleburne",253,4167,225,6,4420,22,2020-08-27,25230
"Cleveland",134,1786,116,3,1920,15,2020-08-27,8226
"Columbia",288,3433,244,14,3721,30,2020-08-27,23892
"Conway",196,4531,176,3,4727,17,2020-08-27,20906
"Craighead",1746,22437,1504,14,24183,228,2020-08-27,105701
"Crawford",883,12981,735,6,13864,142,2020-08-27,62472
"Crittenden",1619,11315,1496,30,12934,93,2020-08-27,49013
"Cross",258,2986,223,5,3244,30,2020-08-27,16998
"Dallas",109,1396,67,2,1505,40,2020-08-27,7432
"Desha",232,2861,203,5,3093,24,2020-08-27,11887
"Drew",298,4360,269,4,4658,25,2020-08-27,18502
"Faulkner",1610,25826,1445,8,27436,157,2020-08-27,122416
"Franklin",156,3907,141,2,4063,13,2020-08-27,17780
"Fulton",65,816,49,0,881,16,2020-08-27,12139
"Garland",1368,20492,1193,28,21860,147,2020-08-27,98298
"Grant",177,3360,152,1,3537,24,2020-08-27,18086
"Greene",603,9213,543,4,9816,56,2020-08-27,44623
"Hempstead",323,3370,281,3,3693,39,2020-08-27,22018
"Hot Spring",1693,8135,1624,20,9828,49,2020-08-27,33520
"Howard",407,3054,369,5,3461,33,2020-08-27,13389
"Independence",731,7349,633,4,8080,94,2020-08-27,37264
"Izard",88,2614,67,0,2702,21,2020-08-27,13559
"Jackson",180,4391,125,1,4571,54,2020-08-27,17225
"Jefferson",2002,20053,1670,47,22055,285,2020-08-27,70424
"Johnson",749,5428,701,4,6177,44,2020-08-27,26291
"Lafayette",66,772,61,2,838,3,2020-08-27,6915
"Lawrence",245,2448,220,10,2693,15,2020-08-27,16669
"Lee",999,3226,967,10,4225,22,2020-08-27,9398
"Lincoln",1406,5013,1238,13,6419,155,2020-08-27,13695
"Little River",274,1414,231,14,1688,29,2020-08-27,12417
"Logan",359,5111,329,1,5470,29,2020-08-27,21757
"Lonoke",679,11927,586,3,12606,90,2020-08-27,72206
"Madison",287,3037,281,2,3324,4,2020-08-27,16078
