county,date,population,cases_population,tested_population,new_cases_today_10k_pop,active_cases_10k_pop,current_infections,positive,new_cases_today,negative,recovered,recovered_since_yesterday,total_deaths,new_deaths_today,number_tested,new_tests_dashboard,pct_positive_cumulative,pct_positive_new_to_dashboard,closed,pct_deaths_vs_recoveries,pct_recoveries_vs_deaths
Union,2020-08-11,39732,1.2785663948454646,12.5968992248062,1.0067451927917044,20.134903855834086,80,508,4,4497,410,14,18,0,5005,21,10.149850149850149,19.047619047619047,428,4.205607476635514,95.7943925233645
Van Buren,2020-08-11,16684,0.3176696235914649,9.697914169263965,0,2.397506593143131,4,53,0,1565,47,1,2,0,1618,8,3.2756489493201486,0,49,4.081632653061225,95.91836734693877
Washington,2020-08-11,228529,2.7659509296413147,13.646408114506256,0.48133934861658695,13.652534251670467,312,6321,11,24865,5957,40,52,1,31186,206,20.268710318732765,5.339805825242718,6009,0.8653686137460476,99.13463138625396
White,2020-08-11,78804,0.4162225267752906,8.490685751992284,0.2537942236434699,7.233135373838892,57,328,2,6363,269,9,2,0,6691,28,4.902107308324615,7.142857142857142,271,0.7380073800738007,99.2619926199262
Woodruff,2020-08-11,6660,0.3303303303303303,16.366366366366368,0,7.5075075075075075,5,22,0,1068,17,0,0,0,1090,2,2.0183486238532113,0,17,0,100
Yell,2020-08-11,21757,4.913361217079561,22.287080020223378,0.9192443811187204,23.440731718527374,51,1069,2,3780,1001,8,17,0,4849,7,22.045782635594968,28.57142857142857,1018,1.6699410609037328,98.33005893909626
Arkansas,2020-08-10,18124,1.2193776208342528,17.231295519752816,2.2070183182520418,19.863164864268374,36,221,4,2902,184,2,1,0,3123,22,7.076528978546269,18.181818181818183,185,0.5405405405405406,99.45945945945947
Ashley,2020-08-10,20537,1.6068559185859668,15.8348346886108,1.9477041437405658,44.31026927009787,91,330,4,2922,234,4,5,0,3252,92,10.14760147601476,4.3478260869565215,239,2.092050209205021,97.90794979079497
Baxter,2020-08-10,41219,0.17225066110288945,8.423299934496226,0,3.153885344137412,13,71,0,3401,58,1,0,0,3472,38,2.044930875576037,0,58,0,100
Benton,2020-08-10,258980,1.85110819368291,23.332689782994827,0.7722604062089736,11.197775890030119,290,4794,20,55633,4461,39,43,0,60427,355,7.933539642874873,5.633802816901409,4504,0.9547069271758437,99.04529307282417
Boone,2020-08-10,37288,0.568547521990989,11.869770435528856,0.268182793391976,16.359150396910533,61,212,1,4214,149,6,2,1,4426,18,4.789877993673746,5.555555555555555,151,1.3245033112582782,98.67549668874173
Bradley,2020-08-10,10948,1.8633540372670807,22.570332480818415,12.787723785166241,71.24588966021192,78,204,14,2267,122,3,4,1,2471,72,8.255766895993524,19.444444444444446,126,3.1746031746031744,96.82539682539682
Calhoun,2020-08-10,5202,0.32679738562091504,10.918877354863515,1.9223375624759709,7.6893502499038835,4,17,1,551,13,0,0,0,568,6,2.992957746478873,16.666666666666664,13,0,100
Carroll,2020-08-10,27887,1.2873381862516586,16.40549359916807,1.792950120127658,7.530390504536164,21,359,5,4216,331,5,7,0,4575,26,7.846994535519125,19.230769230769234,338,2.0710059171597637,97.92899408284023
Chicot,2020-08-10,10826,6.826159246259006,34.66654350637354,5.542213190467393,356.54904858673564,386,739,6,3014,345,7,8,0,3753,24,19.690913935518253,25,353,2.26628895184136,97.73371104815864
Clark,2020-08-10,22385,0.7907080634353362,13.830690194326559,0,11.168192986374804,25,177,0,2919,151,1,1,0,3096,19,5.717054263565891,0,152,0.6578947368421052,99.3421052631579
Clay,2020-08-10,15061,0.9029944890777506,16.931146670207823,0,17.26312993825111,26,136,0,2414,106,2,4,0,2550,8,5.333333333333334,0,110,3.6363636363636362,96.36363636363636
Cleburne,2020-08-10,25230,0.8006341656757829,14.213238208481965,0.7927070947284978,8.323424494649226,21,202,2,3384,176,2,5,0,3586,36,5.633017289459008,5.555555555555555,181,2.7624309392265194,97.23756906077348
Cleveland,2020-08-10,8226,1.2399708242159009,17.590566496474594,6.078288353999514,43.7636761487965,36,102,5,1345,64,4,2,0,1447,34,7.049067035245335,14.705882352941178,66,3.0303030303030303,96.96969696969697
Columbia,2020-08-10,23892,0.908253808806295,12.054244098442995,0.8371002846140967,14.649254980746694,35,217,2,2663,170,1,12,1,2880,17,7.534722222222221,11.76470588235294,182,6.593406593406594,93.4065934065934
Conway,2020-08-10,20906,0.7318473165598393,15.507509805797378,0.4783315794508753,10.044963168468382,21,153,1,3089,129,0,3,0,3242,23,4.719309068476249,4.3478260869565215,132,2.272727272727273,97.72727272727273
Craighead,2020-08-10,105701,1.2998930946727087,17.661138494432407,2.838194529853076,21.854097879868686,231,1374,30,17294,1131,47,12,0,18668,182,7.360188557960146,16.483516483516482,1143,1.0498687664041995,98.9501312335958
Crawford,2020-08-10,62472,1.016455372006659,15.306057113586888,1.2805736970162633,18.408246894608784,115,635,8,8927,516,12,4,0,9562,125,6.640870110855469,6.4,520,0.7692307692307693,99.23076923076923
Crittenden,2020-08-10,49013,2.793136514802195,19.921245383877746,2.6523575377960946,31.420235447738357,154,1369,13,8395,1192,15,23,0,9764,68,14.02089307660795,19.11764705882353,1215,1.8930041152263373,98.10699588477367
Cross,2020-08-10,16998,1.200141193081539,14.236969055182962,5.2947405577126725,24.708789269325802,42,204,9,2216,158,0,4,0,2420,51,8.429752066115702,17.647058823529413,162,2.4691358024691357,97.53086419753086
