county_nam,mydate,deaths,fhwa_numbe,fips,positive,negative,recoveries,total_tests,active_cases,pop_5yr_est_2018,confirmed_pos,probable_pos,confirmed_neg,probable_neg,confirmed_recov,probable_recov,confirmed_death,probable_death,confirmed_active,probable_active,pcr_test,antigen_test,pcr_pos_test,pcr_neg_test,antigen_pos_test,antigen_neg_test,total_pos_test,total_neg_test,New_Cases_Today,Recovered_Since_Yesterday,New_Deaths_Today,New_Tests_Dashboard
Izard,1/6/21,18,65,65,1401,11714,1209,13193,174,13559,1106,295,8928,2786,1003,206,12,6,91,83,10034,3159,1106,8928,373,2786,1479,11714,13,24,1,70
Jackson,1/6/21,24,67,67,2866,19554,2753,22628,89,17225,2306,560,15980,3574,2222,531,18,6,66,23,18286,4342,2306,15980,768,3574,3074,19554,7,11,1,57
Jefferson,1/6/21,133,69,69,6992,64249,6381,71519,476,70424,5855,1137,57344,6905,5513,868,113,20,227,249,63199,8320,5855,57344,1415,6905,7270,64249,69,132,2,885
Johnson,1/6/21,20,71,71,2024,17413,1750,19468,254,26291,1726,298,16562,851,1518,232,17,3,191,63,18288,1180,1726,16562,329,851,2055,17413,46,18,0,190
Lafayette,1/6/21,4,73,73,361,2458,332,2844,24,6915,268,93,2218,240,250,82,4,0,14,10,2486,358,268,2218,118,240,386,2458,8,3,0,30
Lawrence,1/6/21,36,75,75,1667,10544,1497,12281,134,16669,1378,289,9756,788,1245,252,33,3,100,34,11134,1147,1378,9756,359,788,1737,10544,16,13,0,102
Lee,1/6/21,26,77,77,1489,8536,1387,10042,76,9398,1407,82,7889,647,1333,54,25,1,49,27,9296,746,1407,7889,99,647,1506,8536,7,5,0,71
Lincoln,1/6/21,27,79,79,2866,16199,2759,19122,79,13695,2638,228,13383,2816,2566,193,21,6,50,29,16021,3101,2638,13383,285,2816,2923,16199,14,10,1,107
LittleRiver,1/6/21,39,81,81,864,5506,751,6400,74,12417,696,168,4846,660,603,148,37,2,56,18,5542,858,696,4846,198,660,894,5506,9,11,0,83
Logan,1/6/21,13,83,83,1560,19085,1361,20694,186,21757,1255,305,16188,2897,1157,204,11,2,87,99,17443,3251,1255,16188,354,2897,1609,19085,25,26,1,384
Lonoke,1/6/21,87,85,85,4600,46350,3884,51209,629,72206,3329,1271,39081,7269,2882,1002,74,13,373,256,42410,8799,3329,39081,1530,7269,4859,46350,87,52,3,402
Madison,1/6/21,13,87,87,1099,9528,989,10661,97,16076,872,227,8898,630,796,193,11,2,65,32,9770,891,872,8898,261,630,1133,9528,18,13,0,80
Marion,1/6/21,24,89,89,691,7124,591,7844,76,16438,507,184,6418,706,455,136,11,13,41,35,6925,919,507,6418,213,706,720,7124,13,10,0,44
Miller,1/6/21,25,91,91,2882,14985,2677,17959,180,43759,2064,818,12839,2146,1895,782,17,8,152,28,14903,3056,2064,12839,910,2146,2974,14985,43,44,0,171
MissingCountyInfo,1/6/21,0,5,5,2688,95136,2449,97832,239,NA,2189,499,95066,70,2024,425,0,0,165,74,97255,577,2189,95066,507,70,2696,95136,-91,-12,0,-352
Mississippi,1/6/21,97,93,93,4582,27697,4202,32358,282,42831,4134,448,20181,7516,3801,401,82,15,250,32,24315,8043,4134,20181,527,7516,4661,27697,39,40,0,240
Monroe,1/6/21,9,95,95,527,5295,437,5837,81,7249,442,85,5014,281,370,67,9,0,63,18,5456,381,442,5014,100,281,542,5295,10,7,0,113
Montgomery,1/6/21,20,97,97,535,5341,452,5889,63,8993,404,131,3447,1894,371,81,15,5,18,45,3851,2038,404,3447,144,1894,548,5341,6,2,2,30
Nevada,1/6/21,21,99,99,616,9012,561,9639,34,8440,528,88,8674,338,485,76,20,1,23,11,9202,437,528,8674,99,338,627,9012,4,6,1,16
Newton,1/6/21,24,101,101,583,4796,528,5393,31,7848,494,89,3041,1755,457,71,20,4,17,14,3535,1858,494,3041,103,1755,597,4796,4,4,0,105
Ouachita,1/6/21,34,103,103,1478,12829,1287,14362,156,24106,1275,203,12112,717,1120,167,26,8,128,28,13387,975,1275,12112,258,717,1533,12829,25,30,2,84
Perry,1/6/21,5,105,105,515,8535,405,9070,105,10322,420,95,7968,567,340,65,4,1,76,29,8388,682,420,7968,115,567,535,8535,14,12,0,91
Phillips,1/6/21,25,107,107,1330,13434,1218,14801,87,19034,1237,93,13068,366,1138,80,24,1,75,12,14305,496,1237,13068,130,366,1367,13434,31,23,0,158
Pike,1/6/21,12,109,109,743,5599,649,6383,82,10808,590,153,5005,594,530,119,8,4,52,30,5595,788,590,5005,194,594,784,5599,16,20,0,49
Poinsett,1/6/21,64,111,111,2518,19095,2246,21688,208,24054,2254,264,18107,988,2021,225,51,13,182,26,20361,1327,2254,18107,339,988,2593,19095,22,14,1,158
Polk,1/6/21,48,113,113,1373,9718,1153,11117,171,20163,1199,174,9197,521,1024,129,35,13,139,32,10396,721,1199,9197,200,521,1399,9718,43,17,2,151
Pope,1/6/21,64,115,115,5897,50458,5207,56446,626,63644,4852,1045,48109,2349,4368,839,52,12,432,194,52961,3485,4852,48109,1136,2349,5988,50458,67,92,2,306
Prairie,1/6/21,17,117,117,585,5052,494,5674,74,8244,430,155,4313,739,369,125,12,5,49,25,4743,931,430,4313,192,739,622,5052,12,6,0,39
Pulaski,1/6/21,412,119,119,26828,283593,22999,311160,3415,393463,23747,3081,262439,21154,20584,2415,378,34,2783,632,286186,24974,23747,262439,3820,21154,27567,283593,478,302,9,2670
Randolph,1/6/21,43,121,121,1571,13116,1359,14758,169,17603,1234,337,11237,1879,1097,262,32,11,105,64,12471,2287,1234,11237,408,1879,1642,13116,41,19,0,114
Saline,1/6/21,112,125,125,8295,74670,7224,83328,958,118009,6439,1856,63059,11611,5697,1527,97,15,644,314,69498,13830,6439,63059,2219,11611,8658,74670,168,97,3,1059
Scott,1/6/21,12,127,127,656,7682,526,8356,118,10442,447,209,7365,317,400,126,12,0,35,83,7812,544,447,7365,227,317,674,7682,12,13,1,117
Searcy,1/6/21,13,129,129,530,4735,477,5289,40,7923,324,206,3893,842,306,171,7,6,11,29,4217,1072,324,3893,230,842,554,4735,5,12,0,19
Sebastian,1/6/21,161,131,131,10490,100323,9051,110958,1275,127461,8577,1913,96336,3987,7710,1341,148,13,717,558,104913,6045,8577,96336,2058,3987,10635,100323,178,125,1,622
Sevier,1/6/21,20,133,133,2135,11493,2043,13714,72,17193,1569,566,9708,1785,1523,520,19,1,27,45,11277,2437,1569,9708,652,1785,2221,11493,5,23,0,28
Sharp,1/6/21,35,135,135,1242,11414,1054,12724,153,17043,868,374,9660,1754,770,284,26,9,72,81,10528,2196,868,9660,442,1754,1310,11414,23,16,1,133
St.Francis,1/6/21,20,123,123,2870,22926,2660,25825,190,26294,2721,149,22472,454,2538,122,20,0,163,27,25193,632,2721,22472,178,454,2899,22926,26,44,0,146
Stone,1/6/21,27,137,137,802,7530,709,8364,66,12446,624,178,6620,910,573,136,24,3,27,39,7244,1120,624,6620,210,910,834,7530,7,11,0,69
Union,1/6/21,74,139,139,2625,19252,2266,22006,285,39732,2029,596,16171,3081,1732,534,56,18,241,44,18200,3806,2029,16171,725,3081,2754,19252,41,42,1,181
VanBuren,1/6/21,9,141,141,822,10338,713,11232,100,16684,583,239,8818,1520,524,189,8,1,51,49,9401,1831,583,8818,311,1520,894,10338,16,8,0,129
