"","OBJECTID","county_nam","fhwa_numbe","FIPS","positive","negative","pending","lab_prvt","lab_pub","Recoveries","deaths","total_tests","lcase_name","pos_range","neg_range","border_report","active_cases","POP_5YR_EST_2018","confirmed_pos","probable_pos","confirmed_neg","probable_neg","confirmed_recov","probable_recov","confirmed_death","probable_death","confirmed_active","probable_active","pcr_test","antigen_test","pcr_pos_test","pcr_neg_test","antigen_pos_test","antigen_neg_test","total_pos_test","total_neg_test","Shape__Area","Shape__Length","mydate"
"63",63,"Faulkner",45,"045",2012,30971,0,27563,5420,1782,12,32994,"faulkner","2012","30971","Not Applicable",218,122416,1959,53,30368,603,1742,40,10,2,207,11,32327,667,1959,30368,64,603,2023,30971,1719292673.13306,220407.99062066,2020-09-13
"64",64,"Conway",29,"029",231,5196,0,4499,928,215,3,5427,"conway","231","5196","Not Applicable",13,20906,229,2,5127,69,213,2,3,0,13,0,5356,71,229,5127,2,69,231,5196,1466018646.01843,208726.833050194,2020-09-13
"65",65,"Newton",101,"101",172,1424,0,1202,394,115,16,1595,"newton","172","1424","Not Applicable",41,7848,169,3,1424,0,114,1,15,1,40,1,1593,2,169,1424,2,0,171,1424,2130867828.67175,197624.4003355,2020-09-13
"66",66,"Pope",115,"115",1943,17836,0,17089,2690,1822,23,19777,"pope","1943","17836","Not Applicable",98,63644,1935,8,17732,104,1816,6,23,0,96,2,19667,110,1935,17732,6,104,1941,17836,2147891752.79688,215833.141399886,2020-09-13
"67",67,"Johnson",71,"071",799,6238,0,4910,2127,778,4,7038,"johnson","799","6238","Not Applicable",17,26291,798,1,6215,23,777,1,4,0,17,0,7013,25,798,6215,2,23,800,6238,1767434801.76807,208086.242159146,2020-09-13
"68",68,"Van Buren",141,"141",157,3285,0,2892,550,131,2,3445,"van buren","157","3285","Not Applicable",24,16684,157,0,3235,50,131,0,2,0,24,0,3392,53,157,3235,3,50,160,3285,1873571941.61279,202862.182311102,2020-09-13
"69",69,"Cleburne",23,"023",293,4970,0,4811,452,260,7,5263,"cleburne","293","4970","Not Applicable",26,25230,285,8,4901,69,253,7,7,0,25,1,5186,77,285,4901,8,69,293,4970,1532699219.27148,160145.803854315,2020-09-13
"70",70,"Poinsett",111,"111",564,6380,0,5559,1385,505,7,6942,"poinsett","564","6380","Not Applicable",52,24054,557,7,6375,5,498,7,7,0,52,0,6932,10,557,6375,5,5,562,6380,1978621315.45654,195984.20857495,2020-09-13
"71",71,"Craighead",31,"031",2360,27112,0,26291,3181,1969,16,29477,"craighead","2360","27112","https://bit.ly/2T74BCM",374,105701,2322,38,27077,35,1950,19,16,0,355,19,29399,78,2322,27077,43,35,2365,27112,1846141670.6062,203046.971315213,2020-09-13
"72",72,"Sharp",135,"135",166,3133,0,2708,591,144,6,3299,"sharp","166","3133","https://bit.ly/2T74BCM",16,17043,165,1,3130,3,144,0,6,0,15,1,3295,4,165,3130,1,3,166,3133,1570672403.03687,220017.018631529,2020-09-13
"73",73,"Izard",65,"065",128,2972,0,1536,1564,111,0,3107,"izard","128","2972","Not Applicable",17,13559,127,1,2966,6,110,1,0,0,17,0,3093,14,127,2966,8,6,135,2972,1511354352.72925,187594.839051617,2020-09-13
"74",74,"Fulton",49,"049",98,1022,0,809,311,80,1,1121,"fulton","98","1022","https://bit.ly/2T74BCM",17,12139,95,3,1021,1,78,2,1,0,16,1,1116,5,95,1021,4,1,99,1022,1606270810.8877,180201.700547134,2020-09-13
"75",75,"Stone",137,"137",266,2786,0,1959,1093,218,5,3054,"stone","266","2786","Not Applicable",43,12446,259,7,2778,8,211,7,5,0,43,0,3037,17,259,2778,9,8,268,2786,1577804238.83069,206836.754761377,2020-09-13
"76",76,"Boone",9,"009",531,7539,0,6226,1844,379,5,8071,"boone","531","7539","https://bit.ly/2T74BCM",147,37288,519,12,7526,13,375,4,5,0,139,8,8045,26,519,7526,13,13,532,7539,1557916143.12292,169603.300267447,2020-09-13
