"","County","Date","Population","Cases_Population","Tested_Population","New_Cases_Today_10k_Pop","Active_Cases_10k_Pop","Current_Infections","Positive","New_Cases_Today","Negative","Recovered","Recovered_Since_Yesterday","Total_Deaths","New_Deaths_Today","Number_Tested","New_Tests_Dashboard","Pct_Positive_Cumulative","Pct_Positive_New_to_Dashboard","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths","Hospitalized","Hosp_Change_from_Yesterday","Ever_Hospitalized","New_Admits","New_Discharges_Deaths","Pct_Hospitalized","Vent","Ever_on_a_Vent","New_on_Vent","Pct_Vent"
"56","Arkansas_all_counties",2020-07-09,3017804,0.863276740305202,12.0836542068338,2.67081626242128,19.0569036292615,5751,26052,806,338609,19992,596,309,4,364661,5744,7.14416951634532,14.0320334261838,20301,1.52209250775824,98.4779074922418,394,36,1743,38,2,6.8509824378369,82,260,6,20.8121827411168
"57","Arkansas_all_counties",2020-07-08,3017804,0.836568577680989,11.8933171272886,2.43223217942583,18.374288058469,5545,25246,734,333671,19396,671,305,4,358917,5645,7.03393820855518,13.0026572187777,19701,1.54814476422517,98.4518552357748,358,-11,1705,50,61,6.45626690712354,79,254,0,22.0670391061453
"58","Arkansas_all_counties",2020-07-07,3017804,0.812246255886731,11.7062605788845,0.858239965219743,18.1787816571255,5486,24512,259,328760,18725,891,301,9,353272,2876,6.93856292035599,9.00556328233658,19026,1.58204562178072,98.4179543782193,369,32,1655,51,19,6.72621217644914,83,254,7,22.4932249322493
"59","Arkansas_all_counties",2020-07-06,3017804,0.803663856234533,11.6109594923991,1.45470017270837,20.3028427293489,6127,24253,439,326143,17834,701,292,5,350396,5867,6.92159727850775,7.48252940173854,18126,1.61094560300121,98.3890543969988,337,12,1604,29,17,5.50024481801861,81,247,2,24.0356083086053
"60","Arkansas_all_counties",2020-07-05,3017804,0.78911685450745,11.416546601436,2.00476903072565,21.1875920371237,6394,23814,605,320715,17133,407,287,1,344529,5636,6.91204513988663,10.7345635202271,17420,1.64753157290471,98.3524684270953,325,20,1575,39,19,5.08289020957147,75,245,5,23.0769230769231
"61","Arkansas_all_counties",2020-07-04,3017804,0.769069164200193,11.2297882831357,1.94512300997679,20.5347994767056,6197,23209,587,315684,16726,562,286,5,338893,7656,6.84847429719705,7.66718913270637,17012,1.6811662355984,98.3188337644016,305,24,1536,0,-24,4.92173632402776,69,240,0,22.6229508196721
"62","Arkansas_all_counties",2020-07-03,3017804,0.749617934100425,10.9760938748839,1.81257629720154,20.468526120318,6177,22622,547,308615,16164,466,281,2,331237,7250,6.82955104653164,7.5448275862069,16445,1.70872605655214,98.2912739434478,281,9,1536,19,10,4.54913388376234,70,240,4,24.9110320284698
"63","Arkansas_all_counties",2020-07-02,3017804,0.73149217112841,10.7358529579787,2.90940034541673,20.2067463625868,6098,22075,878,301912,15698,535,279,2,323987,9129,6.81354498791618,9.61770182933509,15977,1.74626024910809,98.2537397508919,272,-3,1517,40,43,4.46047884552312,69,236,5,25.3676470588235
"64","Arkansas_all_counties",2020-07-01,3017804,0.702398167674243,10.4333482227474,1.39174048414012,19.0767856361778,5757,21197,420,293661,15163,632,277,7,314858,3655,6.73224120079528,11.4911080711354,15440,1.7940414507772,98.2059585492228,275,-15,1477,29,44,4.77679346882057,72,231,7,26.1818181818182
"65","Arkansas_all_counties",2020-06-30,3017804,0.688480762832841,10.312233663949,1.72310726607825,19.8024788886223,5976,20777,520,290426,14531,465,270,5,311203,8667,6.67634952105217,5.99976923964463,14801,1.82420106749544,98.1757989325046,290,-10,1448,35,45,4.85274431057564,67,224,4,23.1034482758621
"66","Arkansas_all_counties",2020-06-29,3017804,0.671249690172059,10.0250380740432,1.45470017270837,19.6367954976533,5926,20257,439,282279,14066,430,265,1,302536,5432,6.6957320781659,8.08173784977909,14331,1.84913823180518,98.1508617681948,300,17,1413,33,16,5.06243671954101,63,220,9,21
"67","Arkansas_all_counties",2020-06-28,3017804,0.656702688444975,9.84503963809446,1.68334325224567,19.6102861550982,5918,19818,508,277286,13636,366,264,5,297104,5882,6.67039151273628,8.63651819109147,13900,1.89928057553957,98.1007194244604,283,5,1380,7,2,4.78202095302467,66,211,1,23.321554770318
"68","Arkansas_all_counties",2020-06-27,3017804,0.639869255922519,9.65012969695845,1.88879065704731,19.156313663843,5781,19310,570,271912,13270,486,259,10,291222,8257,6.63068037442226,6.90323361995882,13529,1.91440609062015,98.0855939093799,278,-6,1373,36,42,4.80885659920429,63,210,2,22.6618705035971
"69","Arkansas_all_counties",2020-06-26,3017804,0.620981349352045,9.37652014511214,2.24666678154048,18.9111022452088,5707,18740,678,264225,12784,657,249,7,282965,5585,6.62272719240895,12.1396598030439,13033,1.91053479628635,98.0894652037137,284,0,1337,37,37,4.97634483967058,63,208,5,22.1830985915493
"70","Arkansas_all_counties",2020-06-25,3017804,0.598514681536641,9.1914517973997,2.27648979191492,18.8647108957374,5693,18062,687,259318,12127,559,242,2,277380,7399,6.51164467517485,9.28503851871874,12369,1.95650416363489,98.0434958363651,284,17,1300,55,38,4.98858246969963,66,203,9,23.2394366197183
"71","Arkansas_all_counties",2020-06-24,3017804,0.575749783617491,8.94627351544368,2.30962647010873,18.4471887504954,5567,17375,697,252606,11568,348,240,3,269981,5489,6.43563806341928,12.6981235197668,11808,2.03252032520325,97.9674796747967,267,19,1245,31,12,4.7961199928148,58,194,5,21.7228464419476
"72","Arkansas_all_counties",2020-06-23,3017804,0.552653518916404,8.76438628883784,1.97163235253184,17.3006596849895,5221,16678,595,247814,11220,427,237,10,264492,8153,6.30567276136896,7.2979271433828,11457,2.06860434668761,97.9313956533124,248,11,1214,26,15,4.75004788354721,57,189,3,22.9838709677419
"73","Arkansas_all_counties",2020-06-22,3017804,0.532937195391086,8.49422295152369,1.72973460171701,16.7771001695272,5063,16083,522,240256,10793,337,227,2,256339,8159,6.27411357616282,6.39784287290109,11020,2.05989110707804,97.940108892922,237,-7,1188,24,31,4.68101915860162,61,186,0,25.7383966244726
"74","Arkansas_all_counties",2020-06-21,3017804,0.515639849373916,8.22386079414037,1.38842681632074,16.1706989585805,4880,15561,419,232619,10456,374,225,1,248180,5946,6.27004593440245,7.04675412041709,10681,2.10654433105514,97.8934556689449,244,4,1164,12,8,5,62,186,NA,25.4098360655738
"75","Arkansas_all_counties",2020-06-20,3017804,0.501755581210708,8.02683010559997,1.69328425570382,16.0248975745277,4836,15142,511,227092,10082,370,224,10,242234,7462,6.25098045691356,6.84803001876173,10306,2.17349117019212,97.8265088298079,240,9,1152,19,10,4.96277915632754,59,NA,NA,24.5833333333333
"76","Arkansas_all_counties",2020-06-19,3017804,0.48482273865367,7.77956421291774,2.32950847702502,15.5908070901888,4705,14631,703,220141,9712,336,214,6,234772,6338,6.23200381646874,11.091827074787,9926,2.15595406004433,97.8440459399557,231,5,1133,33,28,4.90967056323061,57,NA,NA,24.6753246753247
"77","Arkansas_all_counties",2020-06-18,3017804,0.46152765388342,7.56954394652535,1.06700103784076,14.3945730073921,4344,13928,322,214506,9376,380,208,11,228434,7735,6.09716592101001,4.16289592760181,9584,2.17028380634391,97.8297161936561,226,9,1100,26,17,5.20257826887661,53,NA,NA,23.4513274336283
"78","Arkansas_all_counties",2020-06-17,3017804,0.450857643505012,7.31323174069621,1.37517214504322,14.6232160869294,4413,13606,415,207093,8996,331,197,9,220699,6296,6.16495770257228,6.59148665819568,9193,2.1429348417274,97.8570651582726,217,3,1074,22,19,4.91728982551552,53,NA,NA,24.4239631336406
"79","Arkansas_all_counties",2020-06-16,3017804,0.43710592205458,7.10460321478797,0.907944982510461,14.3746910004758,4338,13191,274,201212,8665,313,188,6,214403,9111,6.15243256857413,3.00735374821644,8853,2.12357392974133,97.8764260702587,214,8,1052,26,18,4.93314891655141,45,NA,NA,21.0280373831776
"80","Arkansas_all_counties",2020-06-15,3017804,0.428026472229475,6.80269493976415,1.3784858128626,14.523806052348,4383,12917,416,192375,8352,242,182,3,205292,8303,6.2920133273581,5.01023726363965,8534,2.13264588704008,97.8673541129599,206,5,1026,23,18,4.69997718457677,45,NA,NA,21.8446601941748
"81","Arkansas_all_counties",2020-06-14,3017804,0.41424161410085,6.52756110072092,1.34534913466879,13.9571688552338,4212,12501,406,184488,8110,247,179,2,196989,3195,6.34603962657813,12.7073552425665,8289,2.15948847870672,97.8405115212933,201,-3,1003,5,8,4.77207977207977,45,NA,NA,22.3880597014925
"82","Arkansas_all_counties",2020-06-13,3017804,0.400788122754162,6.42168941389169,1.81588996502092,13.436923007591,4055,12095,548,181699,7863,256,177,1,193794,6777,6.2411632971093,8.08617382322562,8040,2.20149253731343,97.7985074626866,204,1,998,19,18,5.0308261405672,46,NA,NA,22.5490196078431
"83","Arkansas_all_counties",2020-06-12,3017804,0.382629223103952,6.19712214577222,2.42229117596769,12.472645672151,3764,11547,731,175470,7607,256,176,5,187017,6626,6.174305009705,11.0322970117718,7783,2.26133881536683,97.7386611846332,203,16,979,18,2,5.39319872476089,49,NA,NA,24.1379310344828
"84","Arkansas_all_counties",2020-06-11,3017804,0.358406311344275,5.97755851606002,1.4845231830828,10.9152217970418,3294,10816,448,169575,7351,235,171,6,180391,4174,5.9958645386965,10.7331097268807,7522,2.27333156075512,97.7266684392449,187,6,961,36,30,5.67698846387371,45,NA,NA,24.0641711229947
"85","Arkansas_all_counties",2020-06-10,3017804,0.343561079513447,5.83924602127905,0.954336331981799,10.2292925584299,3087,10368,288,165849,7116,241,165,4,176217,5697,5.88365481196479,5.05529225908373,7281,2.26617222908941,97.7338277709106,181,8,925,24,16,5.86329770003239,49,NA,NA,27.0718232044199
"86","Arkansas_all_counties",2020-06-09,3017804,0.33401771619363,5.6504663656089,1.12664705858962,10.0868048421965,3044,10080,340,160440,6875,245,161,6,170520,9933,5.91133004926108,3.4229336554918,7036,2.28823194997157,97.7117680500284,173,2,901,36,34,5.68331143232589,44,NA,NA,25.4335260115607
"87","Arkansas_all_counties",2020-06-08,3017804,0.322751245607733,5.32131974110976,1.04049169528571,9.79188840627158,2955,9740,314,150847,6630,206,155,1,160587,314,6.06524812095624,100,6785,2.28445099484156,97.7155490051584,171,26,865,21,-5,5.78680203045685,46,NA,NA,26.9005847953216
"88","Arkansas_all_counties",2020-06-07,3017804,0.312346328654876,5.3109148241569,1.0769420412989,9.43732594959779,2848,9426,325,150847,6424,158,154,0,160273,3516,5.88121517660492,9.24345847554039,6578,2.34113712374582,97.6588628762542,145,-9,844,6,15,5.09129213483146,35,NA,NA,24.1379310344828
"89","Arkansas_all_counties",2020-06-06,3017804,0.301576908241887,5.19440626362746,1.49115051872156,8.88394342376112,2681,9101,450,147656,6266,189,154,2,156757,5782,5.80580133582551,7.78277412659979,6420,2.398753894081,97.601246105919,154,7,838,31,24,5.74412532637076,36,NA,NA,23.3766233766234
"90","Arkansas_all_counties",2020-06-05,3017804,0.286665403054672,5.00280999031084,0.748888927180161,8.02570345854138,2422,8651,226,142324,6077,158,152,1,150975,3590,5.73008776287465,6.29526462395543,6229,2.44019906887141,97.5598009311286,147,10,807,15,5,6.06936416184971,35,NA,NA,23.8095238095238
"91","Arkansas_all_counties",2020-06-04,3017804,0.27917651378287,4.88384931559505,1.18629307933849,7.80368771464283,2355,8425,358,138960,5919,202,151,9,147385,4905,5.71632119957933,7.2986748216106,6070,2.48764415156507,97.5123558484349,137,-1,792,35,36,5.81740976645435,32,NA,NA,23.3576642335766
