"","Date","Negative","Number_Tested","New_Tests_Dashboard","Tested_Population","Pct_Positive_Cumulative","Pct_Positive_New_to_Dashboard"
"69",2020-06-27,271912,291222,8257,9.65012969695845,6.63068037442226,6.90323361995882
"70",2020-06-26,264225,282965,5585,9.37652014511214,6.62272719240895,12.1396598030439
"71",2020-06-25,259318,277380,7399,9.1914517973997,6.51164467517485,9.28503851871874
"72",2020-06-24,252606,269981,5489,8.94627351544368,6.43563806341928,12.6981235197668
"73",2020-06-23,247814,264492,8153,8.76438628883784,6.30567276136896,7.2979271433828
"74",2020-06-22,240256,256339,8159,8.49422295152369,6.27411357616282,6.39784287290109
"75",2020-06-21,232619,248180,5946,8.22386079414037,6.27004593440245,7.04675412041709
"76",2020-06-20,227092,242234,7462,8.02683010559997,6.25098045691356,6.84803001876173
"77",2020-06-19,220141,234772,6338,7.77956421291774,6.23200381646874,11.091827074787
"78",2020-06-18,214506,228434,7735,7.56954394652535,6.09716592101001,4.16289592760181
"79",2020-06-17,207093,220699,6296,7.31323174069621,6.16495770257228,6.59148665819568
"80",2020-06-16,201212,214403,9111,7.10460321478797,6.15243256857413,3.00735374821644
"81",2020-06-15,192375,205292,8303,6.80269493976415,6.2920133273581,5.01023726363965
"82",2020-06-14,184488,196989,3195,6.52756110072092,6.34603962657813,12.7073552425665
"83",2020-06-13,181699,193794,6777,6.42168941389169,6.2411632971093,8.08617382322562
"84",2020-06-12,175470,187017,6626,6.19712214577222,6.174305009705,11.0322970117718
"85",2020-06-11,169575,180391,4174,5.97755851606002,5.9958645386965,10.7331097268807
"86",2020-06-10,165849,176217,5697,5.83924602127905,5.88365481196479,5.05529225908373
"87",2020-06-09,160440,170520,9933,5.6504663656089,5.91133004926108,3.4229336554918
"88",2020-06-08,150847,160587,314,5.32131974110976,6.06524812095624,100
"89",2020-06-07,150847,160273,3516,5.3109148241569,5.88121517660492,9.24345847554039
"90",2020-06-06,147656,156757,5782,5.19440626362746,5.80580133582551,7.78277412659979
